Symbol|Issue_Name|Primary_Listing_Mkt
000802|Beijing Jingxi Tourism Development Company|SHE
000803|Si Chuan Jinyu Automobile City Gp Company Ltd|SHE
000806|Beihai Yinhe Industry Investment Company Ltd|SHE
000807|Yunnan Aluminium Company Ltd|SHE
000809|Tieling Newcity Investment Holding Ltd|SHE
000810|China Resources Jinhua Company.,Ltd|SHE
000811|Yantai Moon Company., Ltd|SHE
000812|Shaanxi Jinye Sci Tech & Education Company|SHE
000813|Xinjiang Tianshan Wool Tex Stock Company Ltd|SHE
000815|MCC Meili Paper Industry Company., Ltd|SHE
000816|Jiangsu Jianghuai Engine Company., Ltd|SHE
000818|Fangda Jinhua Chemical Technology Company Ltd|SHE
000819|Yueyang Xingchang PetrChemical Company Ltd|SHE
000820|Jincheng Paper Company., Ltd|SHE
000821|Hubei Jingshan Corrugating Machinery Company|SHE
000822|Shandong Haihua Company Ltd|SHE
000823|Guangdong Goworld Company., Ltd|SHE
000825|Shanxi Taigang Stainless Steel Company., Ltd|SHE
000826|Sound Environmental Resources Company Ltd|SHE
000828|Dongguan Development (Holdings) Company., Ltd|SHE
000829|Telling Telecom Holding Company., Ltd|SHE
000830|Luxi Chemical Group Company Ltd|SHE
000831|Minmetals Rare Earth Company Ltd|SHE
000833|Guangxi Guitang (Group) Company., Ltd|SHE
000835|Sichuan Shengda Industrial Company. Ltd|SHE
000836|Tianjin Xinmao Science&Tech. Company., Ltd|SHE
000837|Qinchuan Mach. Devt Company Ltd of Shaanxi|SHE
000838|Guoxing Rongda Real Estate Company., Ltd|SHE
000839|CITIC Guoan Information Indust. Company., Ltd|SHE
000848|He Bei Cheng De Lolo Company Ltd|SHE
000850|Anhui Huamao Textile Company Ltd|SHE
000851|Gohigh Data Networks Technology Company., Ltd|SHE
000852|Kingdream Public Limited Company|SHE
000856|Tangshan Jidong Equipment Eng Company Ltd|SHE
000858|Wuliangye Yibin Company., Ltd|SHE
000859|Anhui Guofeng Plastic Industry Company., Ltd|SHE
000860|Beijing Shunxin Agriculture Company., Ltd|SHE
000861|Guangdong Highsun Group Company Ltd|SHE
000862|Ning Xia Yin Xing Energy Company., Ltd|SHE
000863|Sanxiang Company Ltd|SHE
000868|Anhui Ankai Automobile Company., Ltd|SHE
000869|Yantai Changyu Pioneer Wine Company Ltd|SHE
000875|Jilin Power Share Company., Ltd|SHE
000876|New Hope Liuhe Company Ltd|SHE
000877|Xinjiang Tianshan Cement Company., Ltd|SHE
000878|Yunnan Copper Company Ltd|SHE
000880|Weichai Heavy Machinery Company Ltd|SHE
000881|China Dalian International Corp|SHE
000882|Beijing Hualian Department Store Company. Ltd|SHE
000883|Hubei Energy Group Company Ltd|SHE
000885|Henan Tongli Cement Company., Ltd|SHE
000886|Hainan Expressway Company., Ltd|SHE
000887|Anhui Zhongding Sealing Parts Company., Ltd|SHE
000888|Emei Shan Tourism Company Ltd|SHE
000889|Maoye Logistics Corp Ltd|SHE
000890|Jiangsu Fasten Company., Ltd|SHE
000892|Stellar Megaunion Corp|SHE
000893|Dongling Grain & Oil Company Ltd|SHE
000895|Henan Shuanghui Investment & Development|SHE
000897|Tianjin Jinbin Development Company., Ltd|SHE
000898|Angang Steel Company Ltd|SHE
000899|Jiangxi Ganneng Company., Ltd|SHE
000900|Xiandai Investment Company., Ltd|SHE
000901|Aerospace Hi-Tech Holding Group Company., Ltd|SHE
000902|China Garments Company., Ltd|SHE
000903|Kunming Yunnei Power Company., Ltd|SHE
000905|Xiamen Port Development Company., Ltd|SHE
000906|Zheshang Development Group Company Ltd|SHE
000908|Hunan Tianyi Science and Tech. Company., Ltd|SHE
000909|Soyea Technology Company., Ltd|SHE
000910|Dare Technology Company Ltd|SHE
000911|Nanning Sugar Industry Company Ltd|SHE
000912|Sichuan Lutianhua Company Ltd|SHE
000913|Zhejiang Qianjiang Motorcycle Company Ltd|SHE
000915|Shandong Shanda Wit Scienc & Tech Company Ltd|SHE
000916|Huabei Expressway Company., Ltd|SHE
000917|Hunan TV & Broadcast Intermediary Company Ltd|SHE
000918|China Calxon Group Company Ltd|SHE
000919|Jinling Pharmaceutical Company., Ltd|SHE
000920|South Huiton Company., Ltd|SHE
000921|Hisense Kelon Electrical Hldngs Company., Ltd|SHE
000922|Harbin Elctrc Cop Jms Elctrc Mchn Company Ltd|SHE
000923|XuanHua Construction Machinery Company., Ltd|SHE
000925|United Mechanical & Electrical Company Ltd|SHE
000926|Hubei Fuxing Science & Technology Company Ltd|SHE
000927|Tianjin Faw Xiali Automobile Company., Ltd|SHE
000928|Sinosteel Jilin Carbon Company., Ltd|SHE
000929|Lanzhou Huanghe Enterprise Company.,Ltd|SHE
000930|Anhui BBCA Biochemical Company., Ltd|SHE
000931|Beijing Centergate Tech. (Holding) Company|SHE
000932|Hunan Valin Steel Company., Ltd|SHE
000933|Henan Shenhuo Coal & Power Company Ltd|SHE
000935|Sichuan Shuangma Cement CompanyLtd|SHE
000936|Jiangsu Huaxicun Company., Ltd|SHE
000937|Jizhong Energy Resources Company Ltd|SHE
000938|Unisplendour Corporation Ltd|SHE
000939|Wuhan Kaidi Electric Power Company., Ltd|SHE
000948|Yunnan Nantian Electronics Information Company Ltd|SHE
000949|Xinxiang Chemical Fiber Company., Ltd|SHE
000950|Chongqing Jian Feng Chemical Company., Ltd|SHE
000951|CNHTC Jinan Truck Company., Ltd|SHE
000952|Hubei Guangji Pharmaceutical Company., Ltd|SHE
000953|Guangxi Hechi Chemical Company Ltd|SHE
000955|Xinlong Holding (Group) Company Ltd|SHE
000957|Zhongtong Bus Holding Company Ltd|SHE
000958|Shijiazhuang Dongfang Thermoelectric Company|SHE
000959|Beijing Shougang Company., Ltd|SHE
000960|Yunnan Tin Company Ltd|SHE
000961|Jiangsu Zhongnan Construction Gp Company Ltd|SHE
000962|Ningxia Orient Tantalum Industry Company Ltd|SHE
000963|Huadong Medicine Company., Ltd|SHE
000965|Tianjin Tianbao Infrastructure Company..Ltd|SHE
000966|Guodian Changyuan Electric Power Company. Ltd|SHE
000967|Infore Environment Technology Group Company Ltd|SHE
000968|Taiyuan Coal Gasification Company, Ltd|SHE
000969|Advanced Technology & Materials Company., Ltd|SHE
000970|Beijing Zhong Ke San Huan Hi-Tech Company Ltd|SHE
000971|Hubei Landing Holding Company Ltd|SHE
000972|Xinjiang Chalkis Company., Ltd|SHE
000973|FSPG Hi-Tech Company Ltd|SHE
000975|Yintai Resources CompanyLtd|SHE
000976|Guangdong Kaiping Chunhui Company., Ltd|SHE
000977|Langchao Electronic Information Company Ltd|SHE
000978|Guilin Tourism Corp Ltd|SHE
000979|ZHONGHONG STOCKSA|SHE
000980|Huangshan Jinma Company.,Ltd|SHE
000981|Yinyi Company Ltd|SHE
000982|Ningxia Zhongyin Cashmere Company., Ltd|SHE
000983|Shanxi Xishan Coal and Electricity Power|SHE
000985|Daqing Huake Company Ltd|SHE
000987|Guangzhou Friendship Group Company., Ltd|SHE
000988|Huagong Tech Company Ltd|SHE
000989|Jiuzhitang Company.,Ltd|SHE
000990|Chengzhi Company., Ltd|SHE
000993|Fujian Mindong Electric Power Company., Ltd|SHE
000995|Gansu Huangtai Wine-Mktg Ind Company., Ltd|SHE
000996|China Cifco Investment Company., Ltd|SHE
000997|Fujian Newland Computer Company., Ltd|SHE
000998|Yuan LongPing Agriculture HiTech Company Ltd|SHE
000999|China Resources Sanju Mdcl & Phrm Company Ltd|SHE
001696|Chongqing Zongshen Power Mchnry Company Ltd|SHE
001896|Henan Yuneng Holdings Company. Ltd|SHE
001965|China Merchants Expressway Network Technology Holdings Company Ltd|SHE
001979|China Merchants Shekou Industrial Zone Holdings Company Ltd|SHE
002001|Zhejiang NHU Company Ltd|SHE
002002|Hongda Xingye Company Ltd|SHE
002003|Zhejiang Weixing Industrial Dev Company Ltd|SHE
002004|Huapont-Nutrichem Company Ltd|SHE
002005|Elec-Tech International Company., Ltd|SHE
002006|Zhejiang Jinggong Sci Tech Company Ltd|SHE
002007|Hualan Biological Engineering, Inc|SHE
002008|Han's Laser Technology Company Ltd|SHE
002009|Miracle Automation Engineering CoLtd|SHE
002010|Transfar Zhilian Company Ltd|SHE
002011|Zhejiang DunAn Artificial Environmental Company Ltd|SHE
002012|Zhejiang Kan Specialities Material Company Ltd|SHE
002013|Hubei Aviation Precision Machinery Tech|SHE
002014|Huangshan Novel Company., Ltd|SHE
002015|Xiake Color Spinning Company., Ltd|SHE
002016|Guangdong Shirongzhaoye Company.,Ltd|SHE
002017|Eastcompeace Technology Company Ltd|SHE
002018|Anhui Huaxing Chemical Industry Company., Ltd|SHE
002019|Yifan Pharmaceutical Company Ltd|SHE
002020|Zhejiang Jingxin Pharmaceutical Company Ltd|SHE
002021|Zoje Resources Investment CompanyLtd|SHE
002022|Shanghai Kehua Bio-Engineering Company., Ltd|SHE
002023|Sichuan Haite High-Tech Company., Ltd|SHE
002024|Suning Commerce Group Company Ltd|SHE
002025|Guizhou Space Appliance Company., Ltd|SHE
002026|Shandong Weida Machinery Company., Ltd|SHE
002027|Hedy Holding Company., Ltd|SHE
002028|Sieyuan Electric Company., Ltd|SHE
002029|Fujian Septwolves Industry Company., Ltd|SHE
002030|Da An Gene Company., Ltd. of Sun Yat-Sen Uni.|SHE
002031|Greatoo Inc|SHE
002032|Zhejiang Supor Cookware Company Ltd|SHE
002033|LiJiang YuLong Tourism Company., LTD.|SHE
002034|Wangneng Environment Company Ltd|SHE
002035|Vatti Corporation Ltd|SHE
002036|Ningbo YAK Technology Industrial Company. Ltd|SHE
002037|Guizhou Jiulian Indust. Explv. Mat. Devt|SHE
002038|Beijing SL Pharmaceutical Company., Ltd|SHE
002039|Guizhou Qianyuan Power Company., Ltd|SHE
002040|Nanjing Port Company., Ltd|SHE
002041|Shandong Denghai Seeds Company Ltd|SHE
002042|Huafu Top Dyed Melange Yarn Company Ltd|SHE
002043|Dehua TB New Decoration Material Company. Ltd|SHE
